"도서관 일련번호","도서관명","구 코드","구명","주소","전화번호","팩스번호","홈페이지 URL","운영시간","정기 휴관일","도서관 구분명","위도","경도","담당자이메일","도서관 소개","설립연도","회원가입요건","대출안내","교통편","층별 설명"
"1574","꿈밭작은도서관","0008","강남구","서울특별시 강남구 자곡로 204-19 2층","02-3462-9962","","","평일 주말: 10:00~17:00(상시운영) ","","작은도서관","37.47375667","127.104168","","","","","","",""
"2145","남서울중앙교회작은도서관","0008","강남구","서울특별시 강남구 삼성로 40(개포동) 1층","02-3411-9191","","www.nsca.or.kr","평일 : 11:00~18:00 토 : 12:00~16:00 일 : 10:00~18:00","","작은도서관","37.48894236","127.0666071","","","","","","",""
"48","논현도서관","0008","강남구","서울특별시 강남구 학동로43길 17(논현동) 논현2동주민센터 6층","02-3443-7650","02-542-6459","http://nhlib.gangnam.go.kr/","평일 : 06:00~22:00 주말 : 06:00~22:00","매월 24주 화요일","공공도서관","37.5172779092976","127.037187913597","","<p> 	- 도서관에 관한 간략한 소개(도서관의 특징 자랑거리 등) ① 엄마와 아이가 함께 책을 읽을 수 있는 분리된 공간 ② 매주 책 읽어주는 시간 운영</p> ","19970910","서울시에 거주하는 시민 타 시도 거주자 중 서울 소재의 직장이나 학교에 다니고 있는 자","2권 이내 기본 14일 연기 7일","&lt;전철 이용시&gt; -역삼역에서 올 때 : 차병원사거리 → 논현사거리(가구백화점) → 관세청사거리 → 건설회관 맞은편 → ABC볼링장 → 내리막길 150m →7ELEVEN편의점 → 좌측골목20m -압구정역에서 올 때 : 늘봄공원 하차 → 동현(아) → 한성시장(아) → 동양슈퍼 맞은편에 위치 -강남구청역에서 올 때 : 3번출구 → 대로변(관세청사거리쪽)으로 직진 → 한미은행 → 영신목공소 → 7ELEVEN편의점 → 좌측20m -학동역에서 올 때 : 10번출구 → 관세청사거리쪽으로 직진 → 사거리건너 티파니(금은방) → 한미은행 → 영신목공소 → 7ELEVEN편의점 → 좌측20m   &lt;버스 이용시&gt; -관세청사거리 경유 :401 640 2225 3414 4412번 -선릉역 : 361 472 4312 4411 승차  구청사거리 지나서 하차 → 맞은 편 길건너 인선약국 → 석쇠한판→ 향나무집 → 7ELEVEN편의점 → 우측골목으로 20m -신사역에서 올 때 : 건설회관 하차 → 맞은편 ABC볼링장 → 내리막길 150m →7ELEVEN편의점 → 좌측20m","- 6층 : 자료실 열람실"
"50","논현정보도서관","0008","강남구","서울특별시 강남구 학동로 167  3층","02-511-7466","","https://library.gangnam.go.kr/nhilib/index.do","평일 : 09:00~18:00 토요일 : 09:00~17시","일요일 법정공휴일","작은도서관","37.51386197","127.0293199","","감사합니다.<p> 논현정보도서관 입니다.","20030709"," 서울시민 서울소재 학교 재학생 서울 소재 직장 재직자 ","2권 이내 : 기본 14일 연기 7일","- 대중 교통편 자세히   전철 이용시 7호선 학동역 6번 출구 도보 3분    버스 이용시 - 401 640 3413 3412 6411 논현동사거리 하차","-3층 : 자료실"
"1542","다움영어도서관","0008","강남구","서울특별시 강남구 개포로 124길 7(일원동)","02-445-0714","","cafe.daum.net/daoomeli","평일 : 13:00~19:00","토일요일 법정공휴일","작은도서관","37.49411388","127.0828722","","","20140714","","","",""
"1259","대치1동작은도서관","0008","강남구","서울특별시 강남구 남부순환로 391길 19 대치1문화센터 지하1층 ","02-3452-1170","","https://library.gangnam.go.kr/dch1lib/index.do","평일 : 06:00~22:00 주말 : 06:00~22:00","법정공휴일","작은도서관","37.49324594","127.0567758","","","20080225","","","",""
"49","대치도서관","0008","강남구","서울특별시 강남구 삼성로 212 은마아파트 복지상가 2층 215호","02-565-6666","02-554-6666","http://dchlib.gangnam.go.kr/","평일 : 6:00~21:00 주말 : 06:00~21:00","매월 24주 화요일 및 법정공휴일","공공도서관","37.49879449","127.066997","letter310@hanmail.net","<p> 	- 도서관에 관한 간략한 소개(도서관의 특징 자랑거리 등) ① 아파트 단지 내에 위치 용이한 접근성 ② 주민과 어린이를 위한 다양한 문화교양 강좌 ③ 매월 1회 이상의 독서 문화 특강</p> ","19990226","서울시민 서울시 직장인 서울시 학교 재학생","2권 이내 ; 기본 14일 연기 7일","- 대중 교통편 자세히   1) 지하철 : 3호선 대치역 4번 출구   2) 버  스 : 143 420 461 4312 4412 2413 2415","- 2층 : 자료실 및 열람실"
"1545","데시앙숲속작은도서관","0008","강남구","서울특별시 강남구 광평로 34길 55 ","02-445-4301","","","평일 : 13:00~18:00","주말 법정공휴일","작은도서관","37.48070634","127.0896793","","","20150227","","","",""
"116","도곡2동작은도서관","0008","강남구","서울특별시 강남구 남부순환로378길 34-9 도곡2동주민센터 ","02-3423-7584","","https://library.gangnam.go.kr/small","평일 : 09:00~17:00","토일요일 법정공휴일","작은도서관","37.48372309","127.0464069","","","19990102","","","",""
"1402","도곡정보문화도서관","0008","강남구","서울특별시 강남구 도곡로18길 57","02-2176-0783~8","","http://dogoklib.gangnam.go.kr/","평일 : 09:00~22:00 주말 : 09:00~17:00","첫째주셋째주 월요일 및 법정공휴일","공공도서관","37.4883101","127.0388803","","","","","","",""
"1846","드림작은도서관","0008","강남구","서울특별시 강남구 언주로121길 5(논현동) 1층","02-548-2380","","","화 수 목 금 토 :10:00~17:00","월 일요일 법정공휴일","작은도서관","37.51146572","127.0353539","","","","","","",""
"1575","래미안포레작은도서관","0008","강남구","서울특별시 강남구 밤고개로 21길 25 ","02-3414-0919","","","평일 : 14:00~18:00 토 :11:00~15:00","일요일 법정공휴일","작은도서관","37.47504703","127.1076438","","","","","","",""
"2146","루디아영어어린이도서관","0008","강남구","서울특별시 강남구 헌릉로 569 802호(세곡동) 강남리더스빌딩 802호","070-7092-8315  ","","","화 수 목 금 : 12:00~18:00","월요일 주말 법정공휴일","작은도서관","37.46575726","127.1012262","","","","","","",""
"2133","못골한옥어린이도서관","0008","강남구","서울특별시 강남구 영동대로 65길 24 대치2동주민센터3층","02-567-3833","","http://happylib.gangnam.go.kr/","평일 : 09:00~18:00 주말 : 09:00~17:00","매월 첫째/셋째 월요일 법정공휴일(일요일제외)","공공도서관","37.50230515","127.0641886","","","","","","",""
"1576","브리즈힐도서관","0008","강남구","서울특별시 강남구 자곡로 3길 45","02-445-3062","","","월 : 15:00~18:00 화 : 14:00~16:00 수 목 :14:00~18:00 금 : 14:00~17:00토 : 11:00~13:00","일요일","작은도서관","37.47222456","127.0906848","","","","","","",""
"2415","사피엔스 작은도서관","0008","강남구","서울특별시 강남구 삼성로 720 청담동천주교회","02-3447-0750","","http://cafe.daum.net/nazarethlibrary","화 수 목 금 토 일 : 10:00~22:00","월요일","작은도서관","37.5203668","127.0478323","","","","","","",""
"1543","삼성도서관","0008","강남구","서울특별시 강남구 봉은사로 616 삼성1동주민센터 동관 4층 ","02-568-9984","02-568-9983","https://library.gangnam.go.kr/sslib/index.do","평일 주말 : 06:00~22:00","법정공휴일","작은도서관","37.51435272","127.0626058","","","20091021","","","",""
"1697","삼성서울병원의학정보센터","0008","강남구","서울특별시 강남구 일원로 81 삼성서울병원 별관 지하 3층","02-3410-3939","","http://library.samsunghospital.com","평일 : 08:30~22:00 주말 : 09:00~13:00","일요일 법정공휴일","","37.49034493","127.0895905","","","","","X","",""
"21","서울특별시교육청강남도서관","0008","강남구","서울특별시 강남구 선릉로116길 45","02-3448-4741~5","관리과 : 02-517-9194 자료봉사과 : 02-3443-4713","http://gnlib.sen.go.kr","평일 : 09:00~20:00 주말 : 09:00~17:00","13주 수요일 및 법정공휴일","공공도서관","37.51368143","127.0468374","","<p> 	- 1982년 3월 개관 이래 각 분야의 정보 및 지식의 제공과 다양한 문화 프로그램 개발을 통해 지역주민의 지적수준 향상에 이바지하고 있으며 강남구 정보문화센터의 중심 역할을 하고 있음 - 어린이 및 청소년을 대상으로 독서 토론 논술 등의 교육을 통한 도서관 서비스를 제공하고 있음 - 지역 평생교육 기관과의 유대 강화를 통해 지역주민을 위한 평생교육활성화에 견인차 역할을 하고 있음</p> ","19820323","- 가입대상 : 서울시민 서울소재 대학생 및 직장인(재학 증명서 및 재직증명서)  - 가입방법 : 홈페이지에서 회원가입 후 현 거주지를 확인할 수 있는 신분증(주민등록증 주민등록등본)지참 후 도서관 방문","- 도서 : 7책/14일 - DVD : 4점/7일","1) 지하철 7호선 7호선 강남구청역 1번출구 → 선릉역 방향으로 도보 7분 →  강남도서관표지판이 있는 골목으로 300m 들어옴.  2) 지하철 2호선 2호선 선릉역 8번출구 → 버스 472 3219 4312 승차 → 주택공사에서 하차 → 차로 온 뒷방향으로 100m 지점에 강남도서관표지판이 있는 골목으로 300m 들어옴.  3) 버스 정류장1 (주택공사 앞 하차) : 472 361 3219 4312 정류장2 (라마다서울호텔(강남교육청) 앞 하차 : 361 3412 4428","- 4층 : 종합자료실(36석) 문화교실(45석)  - 3층 : 디지털자료실(45석) 서고 자료봉사과사무실  - 2층 : 관장실 관리과사무실 열람실(108석)  - 1층 : 어린이실(52석) 장애인실(2석) 순회문고서고  - 지하1층 : 책사랑 쉼터"
"22","서울특별시교육청개포도서관","0008","강남구","서울특별시 강남구 선릉로4길 30","02-3460-8200","","http://gplib.sen.go.kr","평일 : 09:00~20:00 주말 : 09:00~17:00","24주 목요일 및 법정공휴일","공공도서관","37.48308019","127.063867","","<p> 	평생교육 활성화 기반 조성 및 평생학습 인프라 구축</p> ","19840328","- 가입대상 : 서울시민 - 가입방법(구비서류)    : 성인 (주민등록증 또는 운전면허증 / 사진 1매 / 신청서 1장)      아동 (주민등록등본 / 신청서 1장)","- 대출책수 : 1인당 3권 - 기간 : 14일간(7일 1회 연장가능)","교통편 - 버스로 오실 경우  도서관앞 하차 : 143번 420번 3219번 5번(마을버스)  주공1단지앞 하차(도보300m) : 472번 4426번 4511번 405번  경기여고앞 하차(도보 500m) : 4411번 4412번 461번 4203번 - 지하철로 오실 경우 지하철 3호선 대치역(7번출구) : 420번 461번 143번 4411번 4412번/도곡역(4번 출구);472번                                4411번 / 수서역(1번 출구); 4412번 3219번 지하철 2호선 삼성역 3번 출구 : 143번 / 강남역(6번 출구) ; 420번 지하철 분당선 개포동역 7번 출구(도보 10분) : 420번 461번 4411번 3219번","- 지하1층 : 휴게실 기계실 - 1층 : 안내실 문헌정보실 어린이실(유아실) 시청각실 사무실 - 2층 : 디지털실(연속간행물실) 강의실 제1학습실 제2학습실"
"1256","세곡도서관","0008","강남구","서울특별시 강남구 밤고개로 286 세곡동주민센터 ","02-445-0297","","https://library.gangnam.go.kr/sklib/index.do","평일 : 09:00~21:30 주말 : 09:00~17:00","법정공휴일","작은도서관","37.4690517","127.1069139","","","20030627","","","",""
"2417","세곡리엔파크1단지아파트 SH도서관","0008","강남구","서울특별시 강남구 헌릉로 590길 100 관리동2층(세곡동) ","02-445-9441","","","매주 화요일 1시 이후만","월수목금토일","작은도서관","37.4640671","127.0984192","","","","","","",""
"1577","세곡리엔파크5단지도서관","0008","강남구","서울특별시 강남구 헌릉로590길 63 ","02-451-7070","","","평일 : 09:00~18:00 토: 9:00~12:00","일요일 법정공휴일","작은도서관","37.4600486","127.0993931","","","","","","",""
"2650","세곡마루도서관","0008","강남구","서울특별시 강남구 헌릉로 590길 68 세곡커뮤니티센터 2층","02-2176-0634","","https://library.gangnam.go.kr/segokmarulib/index.do","평일 : 09:00~18:00","토 일요일","작은도서관","37.4610384748108","127.10273751747","","","","","","",""
"121","수서동작은도서관","0008","강남구","서울특별시 강남구 광평로 301-4 수서동주민센터 ","02-3423-8584","3423-8960","https://library.gangnam.go.kr/small","평일 : 09:00~18:00","토일요일 법정공휴일","작은도서관","37.48890342","127.1049909","","","20110110","","","",""
"119","신사동작은도서관","0008","강남구","서울특별시 강남구 압구정로 128 신사동주민센터 ","02-3423-7334","","https://library.gangnam.go.kr/small","평일 : 10:00~17:00","토일요일 법정공휴일","작은도서관","37.52397487","127.0227972","","","20110110","","","",""
"1578","아름다운도서관","0008","강남구","서울특별시 강남구 논현로68길 5","02-554-0191","","","평일 :  주말 : ","","작은도서관","37.49470924","127.0404834","","","","","","",""
"120","압구정동작은도서관","0008","강남구","서울특별시 강남구 압구정로33길 48 압구정동주민센터","02-3423-7634","3423-8943","https://library.gangnam.go.kr/small","평일 : 09:00~18:00","토일요일 법정공휴일","작은도서관","37.53061779","127.0306528","","","20110110","","","",""
"117","역삼2동작은도서관","0008","강남구","서울특별시 강남구 언주로 314 강남프라자 2층","02-567-0930","","https://library.gangnam.go.kr/ys2lib/index.do","평일 : 09:00~18:00 토요일 : 09:00~17:00","일요일 법정공휴일","작은도서관","37.49588839","127.046474","","","20100401","","","",""
"81","역삼도서관","0008","강남구","서울특별시 강남구 역삼로7길 16","02-508-1139","02-508-1139","http://yslib.gangnam.go.kr/","평일 : 06:00~22:00 주말 : 06:00~22:00","13번째 월요일 및 법정 공휴일","공공도서관","37.49537399","127.0332844","","강남구립도서관 이용자헌장<p> 우리 강남구립도서관 전직원은 도서관인이라는 사명감을 바탕으로<p> 봉사정신과 전문성을 갖추고 각종 정보자료를 최적의 상태로 수집 관리하여<p> 이용자의 신뢰를 받는 도서관이 될 수 있도록 다음과 같이 실천하겠습니다.","20070109"," 서울시민 서울소재 학교 재학생 서울 소재 직장 재직자 ","2권 이내 기본 14일 연기 7일 ","- 지하철 : 강남역 1번 출구 나오셔서 역삼역 방향으로 200m 직진              국기원 사거리(우리은행)에서 우회전 후 400m 직진              스칼리티움을 지나 2번째 건물 역삼1동 주민센터 5층   - 버  스 : 363번 역삼초교 하차","5층 : 열람실 디지털자료실 자료실"
"1258","열린도서관","0008","강남구","서울특별시 강남구 일원로 115 삼성생명빌딩 B동 203호","02-3412-3970","","https://library.gangnam.go.kr/yllib/","평일 : 09:00~21:00 주말 : 09:00~17:00","매월 첫째 셋째 월요일 및 법정공휴일","작은도서관","37.4839558","127.0845367","","","20080102","","","",""
"2649","영롱 농문화 도서관","0008","강남구","서울특별시 강남구 양재대로 55길 6(일원동)","","","","","","작은도서관","","","","","","","","",""
"1580","이편한세상도서관","0008","강남구","서울특별시 강남구 헌릉로 571길 20 ","02-3411-9245","","","월 : 13:00~18:00 화 : 13:00~15:00 수 : 14:00~19:00 목 :13:00~18:00 금 : 14:00~18:00","주말 법정공휴일","작은도서관","37.46574983","127.1030362","","","","","","",""
"1570","일원1동작은도서관","0008","강남구","서울특별시 강남구 양재대로55길 14 일원1동 주민센터","02-3423-8381","","https://library.gangnam.go.kr/small","월 화 수 목 : 09:00~18:00 금 : 09:00~16:00","주말 법정공휴일","작은도서관","37.49184926","127.0880233","","","","","","",""
"118","일원본동작은도서관","0008","강남구","서울특별시 강남구 광평로 126 일원본동주민센터 ","02-3423-8284","3423-8957","https://library.gangnam.go.kr/small","평일 : 10:00~18:00","토일요일 법정공휴일","작은도서관","37.48337783","127.0864821","","","20110110","","","",""
"52","정다운도서관","0008","강남구","서울특별시 강남구 학동로67길 11 3층정다운도서관","02-512-9326","팩스없음","http://jdwlib.gangnam.go.kr/","평일 : 09:00~18:00 주말 : 09:00~17:00","매월 둘째 넷째 화요일 및 법정공휴일","공공도서관","37.51909941","127.0464411","","<p> 	① 분리된 넓은 어린이실 다양한 장서 ② 주 1회 책 읽어 주는 시간 운영</p> ","20041001"," 서울시민 서울소재 학교 재학생 관내 소재 직장 재직자 ","2권 이내   기본 14일 연기 7일 ","- 대중 교통편 자세히   <전철 이용시>    7호선 강남구청역 4번출구/청담역 8번 출구   <버스 이용시>   강남세무서정류장 강남구청정류장   -지선 : 3219 3414 4412번   -간선 : 301 401 640번","- 3층 : 자료실 열람실"
"51","즐거운도서관","0008","강남구","서울특별시 강남구 도곡로77길 23","02-565-7533","563-7383","http://library.gangnam.go.kr","평일 : 06:00~22:00 주말 : 06:00~22:00","첫번째 세번째 월요일","공공도서관","37.49973075","127.0578497","","<p> 	- 도서관에 관한 간략한 소개(도서관의 특징 자랑거리 등)</p> <p> 	① 분리된 넓고 쾌적한 어린이실 다양한 장서 보유</p> <p> 	② 주 1회 책 읽어 주는 시간 운영</p> <p> 	③ 주택가 중심에 위치 편리한 접근성</p> ","20040901","서울시민 서울소재 학교 재학생 서울 소재 직장 재직자","2권 이내 : 기본 14일 연기 7일","- 대중 교통편 자세히   (전철 이용시)    분당선 한티역 2번 출구 도보 10분","4층 : 자료실 열람실"
"47","청담도서관","0008","강남구","서울특별시 강남구 압구정로79길 26 청담주민센터 7층","02-540-7042","","http://cdlib.gangnam.go.kr/","평일 : 06:00~22:00 주말 : 06:00~22:00","매월 첫째 셋째 월요일 및 일요일을 제외한 법정공휴일","공공도서관","37.52509298","127.0492914","","강남구립도서관 이용자헌장<p> 우리 강남구립도서관 전직원은 도서관인이라는 사명감을 바탕으로<p> 봉사정신과 전문성을 갖추고 각종 정보자료를 최적의 상태로 수집 관리하여<p> 이용자의 신뢰를 받는 도서관이 될 수 있도록 다음과 같이 실천하겠습니다.","19991011"," 서울시민 서울 소재 직장 재직자 서울 소재 학교 재학생 ","2권 이내  기본 14일 연기 7일 ","- 대중 교통편 자세히   지하철: 7호선 청담역 하차 ⑨번출구 압구정동 방향으로 도보 10분 소요","7층 : 자료실 열람실"
"1694","통계청나라셈도서관","0008","강남구","서울특별시 강남구 언주로 721(논현동) 서울세관 별관 4층","02-3438-8502","","http://cafe.naver.com/narasemlib","평일 : 09:00~18:00 주말 : 휴관일","토요일 일요일 법정공휴일","","37.5181435469679","127.034980299509","","","","","○","",""
"2418","페미니즘 도서관 두잉","0008","강남구","서울특별시 강남구 삼성로 654 B1","02-544-5752","","https://doingfeminism.org/","월 수 목 금 토요일 : 11:00~2200","화요일 일요일","작은도서관","37.5185487","127.0485138","","","","","","",""
"1544","푸르지오책사랑","0008","강남구","서울특별시 강남구 자곡로 21 ","070-8766-4219","","lhprugio.kr","평일 : 13:00~22:00","주말 법정공휴일","작은도서관","37.4662566","127.0923733","","","20131218","","","",""
"2419","피치서가","0008","강남구","서울특별시 강남구 논현로 168길 39 2층","02-3789-0419","","","평일 : 09:00~17:00","주말 법정공휴일","작은도서관","37.5232559","127.0293329","","","","","","",""
"74","하상시각장애인도서관","0008","강남구","서울특별시 강남구 개포로 613 하상장애인복지회관","02-451-6000","02-459-4377","http://onsori.or.kr","평일 : 09:00~18:00 주말 : 09:00~18:00","일요일 공휴일","장애인도서관","37.4924322","127.0728459","","<p> 	하상장애인복지관(점자도서관)은 시각장애인의 정보접근과 정상적인 문자생활이 가능하도록.1982년 시각장애인 스스로의 힘으로 설립한 특수도서관입니다. 하상점자도서관의 『하상』은 가톨릭성인 정하상 바오로 성인의 이름에서 명명되었으며 덕행과 지혜 능력이 뛰어난 행동하는 정하상 성인의 정신을 큰 교훈으로 시각장애인의 문화생활과 학습여건 개선을 위한 시각장애인을 위한 도서정보문화센터로서 역할을 수행하고자 설립되었습니다.</p> ","20020503","","","",""
"2420","하음작은도서관","0008","강남구","서울특별시 강남구 개포로25길 5 B1","02-577-4874","","","월 화 : 13:0~18:00 수 : 15:00~21:00 목 : 13:00~18:00 금 : 16:00~22:00토 일 : 9:00~15:00","","작은도서관","37.4792226","127.045865","","","","","","",""
"1700","한국고등교육재단정보자료실","0008","강남구","서울특별시 강남구 테헤란로 211 한국고등교육재단 지하3층","02-554-3512","","http://www.kfas.or.kr/Library/Library0101.aspx","평일 : 09:00~18:00 주말 : 휴관일","주말 공휴일","","37.50188824","127.0392423","","","","","○","",""
"1695","한국관세무역개발원자료실","0008","강남구","서울특별시 강남구 언주로 735 관우빌딩 6층","02-3416-5112","","http://kctdi.libp.net/","평일 : 09:00~17:00 주말 : 휴관일","토요일 일요일 법정공휴일","","37.52079171","127.0337358","","","","","","",""
"1699","한국무역협회정보자료실","0008","강남구","서울특별시 강남구 영동대로 511 무역센터 트레이드타워 603호","02-6000-5109","","http://edms.kita.net","평일 : 09:30~17:30 주말 : 휴관일","토요일 일요일 법정공휴일","","37.51035608","127.0610231","","","","","X","",""
"1696","한국문학번역원번역전문도서관","0008","강남구","서울특별시 강남구 영동대로112길 32","02-6919-7755","","http://library.klti.or.kr/?language=ko","평일 : 09:00~12:00 13:00~18:00(월~금) 18:00~22:00(4~7월 9~12월 월~목) 주말 : 휴관일","토요일일요일 법정공휴일","","37.51522231","127.0628405","","","","","○","",""
"104","한국지식재산연구원지식재산전문도서관","0008","강남구","서울특별시 강남구 테헤란로 131 한국지식재산센터 3층","02-2189-2681~2","02-2189-2696","http://lib.kiip.re.kr","평일 : 09:00~18:00 주말 : 휴관일","공휴일","","37.50008222","127.0329376","","<p> 	우리 도서관은 국내외 지식재산관련 도서 및 정보 연구보고서를 소장하고 있는 국내 유일의 지식재산전문도서관으로서 관련 정보의 제공과 함께 내외부 세미나(전문가회의)의 유치 국제지식재산동향제공(메일링서비스) 등 지식재산정보의 수집 분류 제공의 중심점이 될 수 있도록 노력하고 있습니다. 또한 기술거래정보센터(특허기술에 대한 정보제공 및 거래지원)와 연계하여 운영되고 있으며 특허청 서울사무소가 위치하고 있는 강남구 역삼동에 소재하고 있습니다.</p> ","20090213","- 가입대상 : 회원가입불요  - 가입방법(구비서류)","외부대출불가","- 지하철 : 2호선 역삼역 4번출구방향 200m             2호선 강남역 8번출구방향 300m",""
"53","행복한도서관","0008","강남구","서울특별시 강남구 영동대로65길 24(대치2문화센터 3층)","02-567-3833","02-565-3834","http://happylib.gangnam.go.kr/","평일 : 06:00~22:00 주말 : 06:00~22:00","24주 화요일과 일요일을 제외한 법정공휴일","공공도서관","37.50230515","127.0641886","pjy3764@naver.com","<p> 	대치2문화센터 3층에 위치한 강남구립 도서관입니다.</p> ","20060916"," 서울시 거주자 및 서울 소재 학교 서울 소재 직장인                   ","2권 이내  기본 14일 연기 7일","행복한도서관은 대치2주민센터 3층에 위치하고 있습니다.   - 지하철 이용 시    ①2호선 삼성역 3번 출구로 나와서 마을버스 01번 마을버스 06번 한 정거장 후 하차(씨푸드오션 우래옥 앞 하차)      ② 3호선 학여울역 1번 출구로 마을버스 06번 마을버스 01번 한정거장 후 하차      (한국토지주택공사 앞) 길건너 동광교회쪽  - 버스 이용 시   4318번(휘문고 하차) 4419번 4319번 401번(총회회관 휘문고입구 하차)","대치2문화센터 3층 : 자료실 열람실 어린이자료실"
"2421","힐즈도서관","0008","강남구","서울특별시 강남구 자곡로 101","02-3414-0400","","","매일 07:00~22:00","","작은도서관","37.4724452","127.0958153","","","","","","",""
"146","가람슬기작은도서관","0010","강동구","서울특별시 강동구 강동대로53길 76 (성내동) 성내3동주민센터 1층","02-474-4030","","http://www.gdlibrary.or.kr/small/","평일 : 10:00~17:00 주말 : 휴관일","토 일 법정공휴일","작은도서관","37.52604274","127.1328841","","","19950630","","","",""
