통계년월,통계시도명,통계시군구명,장애유형,장애정도,등록장애인수
202105,서울특별시,용산구,정신,심하지 않은 장애,1
202105,서울특별시,용산구,신장,심하지 않은 장애,93
202105,서울특별시,용산구,심장,심하지 않은 장애,4
202105,서울특별시,용산구,간,심하지 않은 장애,69
202105,서울특별시,용산구,안면,심하지 않은 장애,4
202105,서울특별시,용산구,장루.요루,심하지 않은 장애,57
202105,서울특별시,용산구,뇌전증,심하지 않은 장애,15
202105,서울특별시,용산구,청각,심한 장애,258
202105,서울특별시,용산구,언어,심한 장애,40
202105,서울특별시,성동구,지체,심한 장애,842
202105,서울특별시,성동구,지적,심한 장애,699
202105,서울특별시,성동구,뇌병변,심한 장애,647
202105,서울특별시,성동구,자폐성,심한 장애,187
202105,서울특별시,성동구,정신,심한 장애,406
202105,서울특별시,성동구,신장,심한 장애,364
202105,서울특별시,성동구,심장,심한 장애,28
202105,서울특별시,성동구,호흡기,심한 장애,82
202105,서울특별시,성동구,간,심한 장애,3
202105,서울특별시,성동구,안면,심한 장애,5
202105,서울특별시,성동구,장루.요루,심한 장애,7
202105,서울특별시,성동구,시각,심한 장애,208
202105,서울특별시,성동구,뇌전증,심한 장애,10
202105,서울특별시,성동구,지체,심하지 않은 장애,4311
202105,서울특별시,성동구,시각,심하지 않은 장애,950
202105,서울특별시,성동구,청각,심하지 않은 장애,1307
202105,서울특별시,성동구,언어,심하지 않은 장애,61
202105,서울특별시,성동구,뇌병변,심하지 않은 장애,516
202105,서울특별시,성동구,신장,심하지 않은 장애,112
202105,서울특별시,성동구,심장,심하지 않은 장애,6
202105,서울특별시,성동구,청각,심한 장애,359
202105,서울특별시,성동구,호흡기,심하지 않은 장애,2
202105,서울특별시,성동구,간,심하지 않은 장애,79
202105,서울특별시,성동구,안면,심하지 않은 장애,6
202105,서울특별시,성동구,장루.요루,심하지 않은 장애,86
202105,서울특별시,성동구,뇌전증,심하지 않은 장애,31
202105,서울특별시,성동구,언어,심한 장애,53
202105,서울특별시,광진구,지적,심한 장애,819
202105,서울특별시,광진구,뇌병변,심한 장애,702
202105,서울특별시,광진구,자폐성,심한 장애,179
202105,서울특별시,광진구,정신,심한 장애,524
202105,서울특별시,광진구,신장,심한 장애,447
202105,서울특별시,광진구,심장,심한 장애,31
202105,서울특별시,광진구,호흡기,심한 장애,62
202105,서울특별시,광진구,간,심한 장애,7
202105,서울특별시,광진구,안면,심한 장애,6
202105,서울특별시,광진구,장루.요루,심한 장애,13
202105,서울특별시,광진구,시각,심한 장애,230
202105,서울특별시,광진구,뇌전증,심한 장애,9
202105,서울특별시,광진구,지체,심하지 않은 장애,4584
202105,서울특별시,광진구,시각,심하지 않은 장애,1096
202105,서울특별시,광진구,청각,심하지 않은 장애,1387
202105,서울특별시,광진구,언어,심하지 않은 장애,45
202105,서울특별시,광진구,뇌병변,심하지 않은 장애,511
202105,서울특별시,광진구,신장,심하지 않은 장애,147
202105,서울특별시,광진구,심장,심하지 않은 장애,7
202105,서울특별시,광진구,호흡기,심하지 않은 장애,1
202105,서울특별시,광진구,청각,심한 장애,361
202105,서울특별시,광진구,간,심하지 않은 장애,61
202105,서울특별시,광진구,안면,심하지 않은 장애,3
202105,서울특별시,광진구,장루.요루,심하지 않은 장애,90
202105,서울특별시,광진구,뇌전증,심하지 않은 장애,35
202105,서울특별시,광진구,지체,심한 장애,946
202105,서울특별시,광진구,언어,심한 장애,43
202105,서울특별시,동대문구,지적,심한 장애,892
202105,서울특별시,동대문구,뇌병변,심한 장애,940
202105,서울특별시,동대문구,자폐성,심한 장애,164
202105,서울특별시,동대문구,정신,심한 장애,630
202105,서울특별시,동대문구,신장,심한 장애,516
202105,서울특별시,동대문구,심장,심한 장애,32
202105,서울특별시,동대문구,호흡기,심한 장애,79
202105,서울특별시,동대문구,시각,심한 장애,277
202105,서울특별시,동대문구,간,심한 장애,11
202105,서울특별시,동대문구,안면,심한 장애,6
202105,서울특별시,동대문구,장루.요루,심한 장애,9
202105,서울특별시,동대문구,뇌전증,심한 장애,14
202105,서울특별시,동대문구,지체,심하지 않은 장애,5935
202105,서울특별시,동대문구,시각,심하지 않은 장애,1246
202105,서울특별시,동대문구,청각,심하지 않은 장애,1899
202105,서울특별시,동대문구,언어,심하지 않은 장애,64
202105,서울특별시,동대문구,뇌병변,심하지 않은 장애,684
202105,서울특별시,동대문구,신장,심하지 않은 장애,160
202105,서울특별시,동대문구,심장,심하지 않은 장애,3
202105,서울특별시,동대문구,청각,심한 장애,479
202105,서울특별시,동대문구,호흡기,심하지 않은 장애,1
202105,서울특별시,동대문구,간,심하지 않은 장애,91
202105,서울특별시,동대문구,안면,심하지 않은 장애,13
202105,서울특별시,동대문구,장루.요루,심하지 않은 장애,101
202105,서울특별시,동대문구,지체,심한 장애,1249
202105,서울특별시,동대문구,뇌전증,심하지 않은 장애,33
202105,서울특별시,동대문구,언어,심한 장애,77
202105,서울특별시,중랑구,지적,심한 장애,1311
202105,서울특별시,중랑구,뇌병변,심한 장애,1261
202105,서울특별시,중랑구,자폐성,심한 장애,243
202105,서울특별시,중랑구,정신,심한 장애,855
202105,서울특별시,중랑구,신장,심한 장애,742
202105,서울특별시,중랑구,심장,심한 장애,44
202105,서울특별시,중랑구,호흡기,심한 장애,138
202105,서울특별시,중랑구,간,심한 장애,9
202105,서울특별시,중랑구,안면,심한 장애,6
202105,서울특별시,중랑구,시각,심한 장애,399
202105,서울특별시,중랑구,장루.요루,심한 장애,15
202105,서울특별시,중랑구,뇌전증,심한 장애,14
202105,서울특별시,중랑구,지체,심하지 않은 장애,7774
202105,서울특별시,중랑구,시각,심하지 않은 장애,1689
202105,서울특별시,중랑구,청각,심하지 않은 장애,1953
202105,서울특별시,중랑구,언어,심하지 않은 장애,84
202105,서울특별시,중랑구,뇌병변,심하지 않은 장애,845
202105,서울특별시,중랑구,신장,심하지 않은 장애,213
202105,서울특별시,중랑구,심장,심하지 않은 장애,8
202105,서울특별시,중랑구,간,심하지 않은 장애,92
202105,서울특별시,중랑구,안면,심하지 않은 장애,10
202105,서울특별시,중랑구,청각,심한 장애,601
202105,서울특별시,중랑구,장루.요루,심하지 않은 장애,147
202105,서울특별시,중랑구,뇌전증,심하지 않은 장애,55
202105,서울특별시,중랑구,지체,심한 장애,1794
202105,서울특별시,중랑구,언어,심한 장애,93
202105,서울특별시,성북구,지적,심한 장애,1107
202105,서울특별시,성북구,뇌병변,심한 장애,1002
202105,서울특별시,성북구,지체,심한 장애,1333
202105,서울특별시,성북구,자폐성,심한 장애,229
202105,서울특별시,성북구,정신,심한 장애,650
202105,서울특별시,성북구,신장,심한 장애,582
202105,서울특별시,성북구,심장,심한 장애,27
202105,서울특별시,성북구,호흡기,심한 장애,83
202105,서울특별시,성북구,간,심한 장애,5
202105,서울특별시,성북구,안면,심한 장애,7
202105,서울특별시,성북구,시각,심한 장애,385
202105,서울특별시,성북구,장루.요루,심한 장애,13
202105,서울특별시,성북구,뇌전증,심한 장애,13
202105,서울특별시,성북구,지체,심하지 않은 장애,6434
202105,서울특별시,성북구,시각,심하지 않은 장애,1543
202105,서울특별시,성북구,청각,심하지 않은 장애,2085
202105,서울특별시,성북구,언어,심하지 않은 장애,82
202105,서울특별시,성북구,뇌병변,심하지 않은 장애,776
202105,서울특별시,성북구,신장,심하지 않은 장애,218
202105,서울특별시,성북구,심장,심하지 않은 장애,10
202105,서울특별시,성북구,호흡기,심하지 않은 장애,10
202105,서울특별시,성북구,청각,심한 장애,492
202105,서울특별시,성북구,간,심하지 않은 장애,139
202105,서울특별시,성북구,안면,심하지 않은 장애,10
202105,서울특별시,성북구,장루.요루,심하지 않은 장애,109
202105,서울특별시,성북구,뇌전증,심하지 않은 장애,39
202105,서울특별시,성북구,언어,심한 장애,85
202105,서울특별시,강북구,지적,심한 장애,1228
202105,서울특별시,강북구,뇌병변,심한 장애,1031
202105,서울특별시,강북구,자폐성,심한 장애,170
202105,서울특별시,강북구,정신,심한 장애,735
202105,서울특별시,강북구,신장,심한 장애,600
202105,서울특별시,강북구,심장,심한 장애,25
202105,서울특별시,강북구,호흡기,심한 장애,95
202105,서울특별시,강북구,간,심한 장애,6
202105,서울특별시,강북구,안면,심한 장애,2
202105,서울특별시,강북구,지체,심한 장애,1454
202105,서울특별시,강북구,장루.요루,심한 장애,11
202105,서울특별시,강북구,뇌전증,심한 장애,11
202105,서울특별시,강북구,시각,심한 장애,476
202105,서울특별시,강북구,지체,심하지 않은 장애,6198
202105,서울특별시,강북구,시각,심하지 않은 장애,1456
202105,서울특별시,강북구,청각,심하지 않은 장애,2102
202105,서울특별시,강북구,언어,심하지 않은 장애,82
202105,서울특별시,강북구,뇌병변,심하지 않은 장애,707
202105,서울특별시,강북구,청각,심한 장애,607
202105,서울특별시,강북구,신장,심하지 않은 장애,139
202105,서울특별시,강북구,심장,심하지 않은 장애,10
202105,서울특별시,강북구,호흡기,심하지 않은 장애,5
202105,서울특별시,강북구,간,심하지 않은 장애,78
202105,서울특별시,강북구,안면,심하지 않은 장애,4
202105,서울특별시,강북구,장루.요루,심하지 않은 장애,111
202105,서울특별시,강북구,뇌전증,심하지 않은 장애,39
202105,서울특별시,강북구,언어,심한 장애,64
202105,서울특별시,도봉구,지적,심한 장애,1116
202105,서울특별시,도봉구,뇌병변,심한 장애,961
202105,서울특별시,도봉구,자폐성,심한 장애,181
202105,서울특별시,도봉구,정신,심한 장애,646
202105,서울특별시,도봉구,신장,심한 장애,540
202105,서울특별시,도봉구,심장,심한 장애,30
202105,서울특별시,도봉구,호흡기,심한 장애,62
202105,서울특별시,도봉구,시각,심한 장애,343
202105,서울특별시,도봉구,간,심한 장애,4
202105,서울특별시,도봉구,안면,심한 장애,9
202105,서울특별시,도봉구,장루.요루,심한 장애,8
202105,서울특별시,도봉구,뇌전증,심한 장애,14
202105,서울특별시,도봉구,지체,심하지 않은 장애,5493
202105,서울특별시,도봉구,시각,심하지 않은 장애,1279
202105,서울특별시,도봉구,청각,심하지 않은 장애,1802
202105,서울특별시,도봉구,언어,심하지 않은 장애,68
202105,서울특별시,도봉구,뇌병변,심하지 않은 장애,702
202105,서울특별시,도봉구,신장,심하지 않은 장애,172
202105,서울특별시,도봉구,심장,심하지 않은 장애,7
202105,서울특별시,도봉구,호흡기,심하지 않은 장애,4
202105,서울특별시,도봉구,간,심하지 않은 장애,90
202105,서울특별시,도봉구,청각,심한 장애,476
202105,서울특별시,도봉구,안면,심하지 않은 장애,7
202105,서울특별시,도봉구,장루.요루,심하지 않은 장애,119
202105,서울특별시,도봉구,뇌전증,심하지 않은 장애,30
202105,서울특별시,도봉구,언어,심한 장애,46
202105,서울특별시,도봉구,지체,심한 장애,1149
202105,서울특별시,노원구,지적,심한 장애,2298
202105,서울특별시,노원구,뇌병변,심한 장애,1917
202105,서울특별시,노원구,자폐성,심한 장애,393
202105,서울특별시,노원구,정신,심한 장애,1484
202105,서울특별시,노원구,신장,심한 장애,867
202105,서울특별시,노원구,심장,심한 장애,75
202105,서울특별시,노원구,호흡기,심한 장애,153
202105,서울특별시,노원구,간,심한 장애,8
202105,서울특별시,노원구,시각,심한 장애,722
202105,서울특별시,노원구,안면,심한 장애,20
202105,서울특별시,노원구,장루.요루,심한 장애,22
202105,서울특별시,노원구,뇌전증,심한 장애,25
202105,서울특별시,노원구,지체,심하지 않은 장애,8741
202105,서울특별시,노원구,시각,심하지 않은 장애,2032
202105,서울특별시,노원구,청각,심하지 않은 장애,2674
202105,서울특별시,노원구,언어,심하지 않은 장애,112
202105,서울특별시,노원구,뇌병변,심하지 않은 장애,958
202105,서울특별시,노원구,정신,심하지 않은 장애,1
202105,서울특별시,노원구,신장,심하지 않은 장애,262
202105,서울특별시,노원구,심장,심하지 않은 장애,11
202105,서울특별시,노원구,호흡기,심하지 않은 장애,2
202105,서울특별시,노원구,간,심하지 않은 장애,105
202105,서울특별시,노원구,청각,심한 장애,943
202105,서울특별시,노원구,안면,심하지 않은 장애,13
202105,서울특별시,노원구,장루.요루,심하지 않은 장애,159
202105,서울특별시,노원구,뇌전증,심하지 않은 장애,85
202105,서울특별시,노원구,언어,심한 장애,137
202105,서울특별시,노원구,지체,심한 장애,2923
202105,서울특별시,은평구,지적,심한 장애,1797
202105,서울특별시,은평구,뇌병변,심한 장애,1364
202105,서울특별시,은평구,자폐성,심한 장애,346
202105,서울특별시,은평구,정신,심한 장애,1161
202105,서울특별시,은평구,지체,심한 장애,1500
202105,서울특별시,은평구,신장,심한 장애,699
202105,서울특별시,은평구,심장,심한 장애,46
202105,서울특별시,은평구,호흡기,심한 장애,125
202105,서울특별시,은평구,간,심한 장애,11
202105,서울특별시,은평구,안면,심한 장애,10
202105,서울특별시,은평구,장루.요루,심한 장애,23
202105,서울특별시,은평구,시각,심한 장애,442
202105,서울특별시,은평구,뇌전증,심한 장애,9
202105,서울특별시,은평구,지체,심하지 않은 장애,7464
202105,서울특별시,은평구,시각,심하지 않은 장애,1889
202105,서울특별시,은평구,청각,심하지 않은 장애,2536
202105,서울특별시,은평구,언어,심하지 않은 장애,86
202105,서울특별시,은평구,뇌병변,심하지 않은 장애,884
202105,서울특별시,은평구,신장,심하지 않은 장애,171
202105,서울특별시,은평구,심장,심하지 않은 장애,10
202105,서울특별시,은평구,호흡기,심하지 않은 장애,3
202105,서울특별시,은평구,간,심하지 않은 장애,147
202105,서울특별시,은평구,청각,심한 장애,727
202105,서울특별시,은평구,안면,심하지 않은 장애,13
202105,서울특별시,은평구,장루.요루,심하지 않은 장애,149
202105,서울특별시,은평구,뇌전증,심하지 않은 장애,58
202105,서울특별시,은평구,언어,심한 장애,88
202105,서울특별시,서대문구,지적,심한 장애,791
202105,서울특별시,서대문구,뇌병변,심한 장애,802
202105,서울특별시,서대문구,자폐성,심한 장애,175
202105,서울특별시,서대문구,정신,심한 장애,524
202105,서울특별시,서대문구,신장,심한 장애,487
202105,서울특별시,서대문구,심장,심한 장애,28
202105,서울특별시,서대문구,호흡기,심한 장애,39
202105,서울특별시,서대문구,간,심한 장애,2
202105,서울특별시,서대문구,안면,심한 장애,1
202105,서울특별시,서대문구,시각,심한 장애,248
202105,서울특별시,서대문구,장루.요루,심한 장애,15
202105,서울특별시,서대문구,뇌전증,심한 장애,9
202105,서울특별시,서대문구,지체,심하지 않은 장애,4449
202105,서울특별시,서대문구,시각,심하지 않은 장애,1034
202105,서울특별시,서대문구,청각,심하지 않은 장애,1438
202105,서울특별시,서대문구,언어,심하지 않은 장애,56
202105,서울특별시,서대문구,뇌병변,심하지 않은 장애,563
202105,서울특별시,서대문구,신장,심하지 않은 장애,137
202105,서울특별시,서대문구,심장,심하지 않은 장애,6
202105,서울특별시,서대문구,호흡기,심하지 않은 장애,3
202105,서울특별시,서대문구,간,심하지 않은 장애,93
202105,서울특별시,서대문구,청각,심한 장애,402
202105,서울특별시,서대문구,안면,심하지 않은 장애,6
202105,서울특별시,서대문구,장루.요루,심하지 않은 장애,94
202105,서울특별시,서대문구,뇌전증,심하지 않은 장애,19
202105,서울특별시,서대문구,언어,심한 장애,57
202105,서울특별시,서대문구,지체,심한 장애,916
202105,서울특별시,마포구,지적,심한 장애,837
202105,서울특별시,마포구,뇌병변,심한 장애,842
202105,서울특별시,마포구,자폐성,심한 장애,214
202105,서울특별시,마포구,정신,심한 장애,502
202105,서울특별시,마포구,신장,심한 장애,462
202105,서울특별시,마포구,심장,심한 장애,21
202105,서울특별시,마포구,호흡기,심한 장애,47
202105,서울특별시,마포구,간,심한 장애,6
202105,서울특별시,마포구,지체,심한 장애,1069
202105,서울특별시,마포구,안면,심한 장애,5
202105,서울특별시,마포구,장루.요루,심한 장애,22
202105,서울특별시,마포구,시각,심한 장애,337
202105,서울특별시,마포구,뇌전증,심한 장애,11
202105,서울특별시,마포구,지체,심하지 않은 장애,4479
202105,서울특별시,마포구,시각,심하지 않은 장애,1146
202105,서울특별시,마포구,청각,심하지 않은 장애,1424
202105,서울특별시,마포구,언어,심하지 않은 장애,62
202105,서울특별시,마포구,뇌병변,심하지 않은 장애,531
202105,서울특별시,마포구,정신,심하지 않은 장애,1
202105,서울특별시,마포구,신장,심하지 않은 장애,159
202105,서울특별시,마포구,심장,심하지 않은 장애,9
202105,서울특별시,마포구,호흡기,심하지 않은 장애,5
202105,서울특별시,마포구,청각,심한 장애,461
202105,서울특별시,마포구,간,심하지 않은 장애,87
202105,서울특별시,마포구,안면,심하지 않은 장애,6
202105,서울특별시,마포구,장루.요루,심하지 않은 장애,102
202105,서울특별시,마포구,뇌전증,심하지 않은 장애,21
202105,서울특별시,마포구,언어,심한 장애,55
202105,서울특별시,양천구,지적,심한 장애,1180
202105,서울특별시,양천구,뇌병변,심한 장애,1059
202105,서울특별시,양천구,자폐성,심한 장애,298
202105,서울특별시,양천구,정신,심한 장애,629
202105,서울특별시,양천구,신장,심한 장애,547
202105,서울특별시,양천구,심장,심한 장애,37
202105,서울특별시,양천구,지체,심한 장애,1420
202105,서울특별시,양천구,호흡기,심한 장애,87
202105,서울특별시,양천구,간,심한 장애,8
202105,서울특별시,양천구,안면,심한 장애,9
202105,서울특별시,양천구,장루.요루,심한 장애,8
202105,서울특별시,양천구,뇌전증,심한 장애,11
202105,서울특별시,양천구,지체,심하지 않은 장애,6325
202105,서울특별시,양천구,시각,심하지 않은 장애,1398
202105,서울특별시,양천구,시각,심한 장애,325
202105,서울특별시,양천구,청각,심하지 않은 장애,2194
202105,서울특별시,양천구,언어,심하지 않은 장애,75
202105,서울특별시,양천구,뇌병변,심하지 않은 장애,722
202105,서울특별시,양천구,정신,심하지 않은 장애,1
202105,서울특별시,양천구,신장,심하지 않은 장애,187
202105,서울특별시,양천구,심장,심하지 않은 장애,20
202105,서울특별시,양천구,호흡기,심하지 않은 장애,5
202105,서울특별시,양천구,간,심하지 않은 장애,128
202105,서울특별시,양천구,안면,심하지 않은 장애,5
202105,서울특별시,양천구,장루.요루,심하지 않은 장애,111
202105,서울특별시,양천구,뇌전증,심하지 않은 장애,39
202105,서울특별시,양천구,청각,심한 장애,670
202105,서울특별시,양천구,언어,심한 장애,80
202105,서울특별시,강서구,지체,심한 장애,2957
202105,서울특별시,강서구,지적,심한 장애,2028
202105,서울특별시,강서구,뇌병변,심한 장애,1880
202105,서울특별시,강서구,자폐성,심한 장애,384
202105,서울특별시,강서구,정신,심한 장애,1601
202105,서울특별시,강서구,신장,심한 장애,1036
202105,서울특별시,강서구,심장,심한 장애,52
202105,서울특별시,강서구,호흡기,심한 장애,158
202105,서울특별시,강서구,간,심한 장애,11
202105,서울특별시,강서구,안면,심한 장애,18
202105,서울특별시,강서구,장루.요루,심한 장애,19
202105,서울특별시,강서구,시각,심한 장애,718
202105,서울특별시,강서구,뇌전증,심한 장애,35
202105,서울특별시,강서구,지체,심하지 않은 장애,9155
202105,서울특별시,강서구,시각,심하지 않은 장애,2118
202105,서울특별시,강서구,청각,심하지 않은 장애,3343
202105,서울특별시,강서구,언어,심하지 않은 장애,140
202105,서울특별시,강서구,뇌병변,심하지 않은 장애,1039
202105,서울특별시,강서구,신장,심하지 않은 장애,312
202105,서울특별시,강서구,심장,심하지 않은 장애,10
202105,서울특별시,강서구,청각,심한 장애,1137
202105,서울특별시,강서구,호흡기,심하지 않은 장애,8
202105,서울특별시,강서구,간,심하지 않은 장애,144
202105,서울특별시,강서구,안면,심하지 않은 장애,16
202105,서울특별시,강서구,장루.요루,심하지 않은 장애,161
202105,서울특별시,강서구,뇌전증,심하지 않은 장애,88
202105,서울특별시,강서구,언어,심한 장애,104
202105,서울특별시,구로구,뇌병변,심한 장애,1030
202105,서울특별시,구로구,자폐성,심한 장애,297
202105,서울특별시,구로구,정신,심한 장애,654
202105,서울특별시,구로구,지체,심한 장애,1402
202105,서울특별시,구로구,신장,심한 장애,624
202105,서울특별시,구로구,심장,심한 장애,44
202105,서울특별시,구로구,호흡기,심한 장애,100
202105,서울특별시,구로구,간,심한 장애,4
202105,서울특별시,구로구,안면,심한 장애,13
202105,서울특별시,구로구,장루.요루,심한 장애,11
202105,서울특별시,구로구,뇌전증,심한 장애,12
202105,서울특별시,구로구,지체,심하지 않은 장애,6766
202105,서울특별시,구로구,시각,심한 장애,401
202105,서울특별시,구로구,시각,심하지 않은 장애,1489
202105,서울특별시,구로구,청각,심하지 않은 장애,2301
202105,서울특별시,구로구,언어,심하지 않은 장애,76
202105,서울특별시,구로구,뇌병변,심하지 않은 장애,697
202105,서울특별시,구로구,정신,심하지 않은 장애,1
202105,서울특별시,구로구,신장,심하지 않은 장애,157
202105,서울특별시,구로구,심장,심하지 않은 장애,14
202105,서울특별시,구로구,호흡기,심하지 않은 장애,3
202105,서울특별시,구로구,간,심하지 않은 장애,101
202105,서울특별시,구로구,안면,심하지 않은 장애,13
202105,서울특별시,구로구,장루.요루,심하지 않은 장애,119
202105,서울특별시,구로구,뇌전증,심하지 않은 장애,38
202105,서울특별시,구로구,청각,심한 장애,672
202105,서울특별시,구로구,언어,심한 장애,78
202105,서울특별시,구로구,지적,심한 장애,1246
202105,서울특별시,금천구,지적,심한 장애,777
202105,서울특별시,금천구,뇌병변,심한 장애,601
202105,서울특별시,금천구,자폐성,심한 장애,130
202105,서울특별시,금천구,정신,심한 장애,428
202105,서울특별시,금천구,신장,심한 장애,382
202105,서울특별시,금천구,심장,심한 장애,32
202105,서울특별시,금천구,호흡기,심한 장애,57
202105,서울특별시,금천구,안면,심한 장애,10
202105,서울특별시,금천구,장루.요루,심한 장애,8
202105,서울특별시,금천구,뇌전증,심한 장애,12
202105,서울특별시,금천구,시각,심한 장애,197
202105,서울특별시,금천구,지체,심하지 않은 장애,4177
202105,서울특별시,금천구,시각,심하지 않은 장애,955
202105,서울특별시,금천구,청각,심하지 않은 장애,1409
202105,서울특별시,금천구,언어,심하지 않은 장애,49
202105,서울특별시,금천구,뇌병변,심하지 않은 장애,481
202105,서울특별시,금천구,신장,심하지 않은 장애,90
202105,서울특별시,금천구,청각,심한 장애,444
202105,서울특별시,금천구,심장,심하지 않은 장애,5
202105,서울특별시,금천구,호흡기,심하지 않은 장애,2
202105,서울특별시,금천구,간,심하지 않은 장애,51
202105,서울특별시,금천구,안면,심하지 않은 장애,6
202105,서울특별시,금천구,장루.요루,심하지 않은 장애,82
202105,서울특별시,금천구,지체,심한 장애,946
202105,서울특별시,금천구,뇌전증,심하지 않은 장애,34
202105,서울특별시,금천구,언어,심한 장애,44
202105,서울특별시,영등포구,지적,심한 장애,864
202105,서울특별시,영등포구,뇌병변,심한 장애,805
202105,서울특별시,영등포구,자폐성,심한 장애,209
202105,서울특별시,영등포구,정신,심한 장애,474
202105,서울특별시,영등포구,지체,심한 장애,1144
202105,서울특별시,영등포구,신장,심한 장애,526
202105,서울특별시,영등포구,심장,심한 장애,27
202105,서울특별시,영등포구,호흡기,심한 장애,55
202105,서울특별시,영등포구,간,심한 장애,5
202105,서울특별시,영등포구,안면,심한 장애,8
202105,서울특별시,영등포구,시각,심한 장애,291
202105,서울특별시,영등포구,장루.요루,심한 장애,7
202105,서울특별시,영등포구,뇌전증,심한 장애,8
202105,서울특별시,영등포구,지체,심하지 않은 장애,5302
202105,서울특별시,영등포구,시각,심하지 않은 장애,1267
202105,서울특별시,영등포구,청각,심하지 않은 장애,1921
202105,서울특별시,영등포구,언어,심하지 않은 장애,64
202105,서울특별시,영등포구,뇌병변,심하지 않은 장애,635
202105,서울특별시,영등포구,신장,심하지 않은 장애,166
202105,서울특별시,영등포구,심장,심하지 않은 장애,7
202105,서울특별시,영등포구,호흡기,심하지 않은 장애,1
202105,서울특별시,영등포구,간,심하지 않은 장애,85
202105,서울특별시,영등포구,안면,심하지 않은 장애,12
202105,서울특별시,영등포구,청각,심한 장애,458
202105,서울특별시,영등포구,장루.요루,심하지 않은 장애,111
202105,서울특별시,영등포구,뇌전증,심하지 않은 장애,25
202105,서울특별시,영등포구,언어,심한 장애,65
202105,서울특별시,동작구,지체,심한 장애,1093
202105,서울특별시,동작구,지적,심한 장애,878
